Index_Place,City,Name_SMEs,General_Category,Specialty,Price_Range,Rating,Goods
B_37,Bali,Bli.Es,Munchies,"Thai Tea, Greentea, yoghurt",<25.000,4.9,Street Snacks
B_38,Bali,"Sensasi Kopi, Gajah Mada Tabanan",Munchies,Kopi ,<25.000,4.7,Street Snacks
B_39,Bali,Gamon Coffe,Munchies,Kopi,<25.000,5.6,Street Snacks
B_40,Bali,Buchadi Kombucha,Munchies,Kombucha,25.000-50.000,4.8,Snack
B_41,Bali,Panko Ubud,Munchies,"Mille crepes, fruit sandwich, pie buah",<25.000,3.7,Street Snacks
B_42,Bali,Gulali Donuts,Munchies,Donat,25.000-50.000,4.3,Snack
B_43,Bali,Masayu Cakes,Munchies,"Pia, Fudgy Brownies",25.000-50.000,4.2,Snack
B_44,Bali,Bli Ketut Ukir,Craft,Papan nama ukiran,>50.000,5,Household Items
B_45,Bali,Zenly Bright,Craft,Nampan kayu jati,>50.000,4.9,Household Items
B_46,Bali,Bali Miho,Craft,Kap lampu rotan,>50.000,4.9,Household Items
B_47,Bali,Karunia Bali Rotan,Craft,Cermin rotan,>50.000,5,Household Items
B_48,Bali,Swaha Craft Shop,Craft,"Piring kayu, nampan kayu, tempat sabun",<25.000,4.8,Daily Needs
B_49,Bali,Tas Rotan Yola,Craft,Tas Rotan,>50.000,4.9,Souvenir
B_50,Bali,Dream Catcher Bali,Craft,Dream Catcher,25.000-50.000,4.9,Souvenir
B_51,Bali,Kipas Bee Handycrafts,Craft,Kipas,>50.000,4.8,Household Items
B_52,Bali,Craft Dewata,Craft,"Gelang Sangadatu Khas Bali, Gelang Manik",<25.000,4.9,Souvenir
B_53,Bali,Made Sukawati,Craft,Patung Ukiran Kayu,25.000-50.000,4.8,Daily Needs
